Назва;Модель;Ціна(грн);Посилання на товар
Смартфон SAMSUNG SM-A536E Galaxy A53 6/128Gb ZWD White (SM-A536EZWDSEK);SM-A536EZWD;15999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a536e_galaxy_a53_6128gb_zwd_white.html
Смартфон SAMSUNG SM-A135F Galaxy A13 3/32Gb LBU Light Blue (SM-A135FLBUSEK);SM-A135FLBU;6777;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a135f_galaxy_a13_332gb_lbu_light_blue.html
Смартфон SAMSUNG Galaxy M13 4/64Gb Dual Sim Light Blue (SM-M135FLBDSEK);SM-M135FLBD;7299;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_464gb_lbd_light_blue.html
Смартфон SAMSUNG SM-A536E Galaxy A53 8/256Gb ZKH Black (SM-A536EZKHSEK);SM-A536EZKH;17777;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a536e_galaxy_a53_8256gb_zkh_black.html
Смартфон SAMSUNG Galaxy M13 4/64Gb Dual-SIM Orange Copper (SM-M135FIDDSEK);SM-M135FIDD;7299;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_464gb_idd_orange_copper.html
Смартфон SAMSUNG Galaxy M32 6/128 Gb Dual Sim Black (SM-M325FZKGSEK);SM-M325FZKG;8555;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-m325f-galaxy-m32-6-128gb-zkg-black.html
Смартфон SAMSUNG SM-A135F Galaxy A13 4/128Gb LBK Light Blue (SM-A135FLBKSEK);SM-A135FLBK;7999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a135f_galaxy_a13_4128gb_lbk_light_blue.html
Смартфон SAMSUNG Galaxy S22 8/128 Gb Dual Sim Phantom Black (SM-S901BZKDSEK);SM-S901BZKD;33199;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_s901b_galaxy_s22_8128gb_zkd_phantom_black.html
Смартфон SAMSUNG Galaxy A32 4/128 Gb Dual Sim Awesome Black (SM-A325FZKGSEK);SM-A325FZKG;10399;https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_samsung_sm-a325f-galaxy-a32-4-128-duos-zkg-black.html
Смартфон SAMSUNG Galaxy M13 4/128 Gb Dual Sim Orange Copper (SM-M135FIDGSEK);SM-M135FIDG;7799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_4128gb_idg_orange_copper.html
Смартфон SAMSUNG SM-M536B Galaxy M53 6/128Gb ZND Brown (SM-M536BZNDSEK);SM-M536BZND;16499;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m536b_galaxy_m53_6128gb_znd_brown.html
Смартфон SAMSUNG Galaxy A03 Core 2/32 Gb Dual Sim Copper (SM-A032FZCDSEK);SM-A032FZCD;4099;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a032f_galaxy_a03_core_232gb_zcd_copper.html
Смартфон SAMSUNG SM-A536E Galaxy A53 8/256Gb ZWH White (SM-A536EZWHSEK);SM-A536EZWH;17777;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a536e_galaxy_a53_8256gb_zwh_white.html
Смартфон SAMSUNG Galaxy S22 Ultra 12/256GB Dual Sim Phantom Black (SM-S908BZKGSEK);SM-S908BZKG;50299;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_s908b_galaxy_s22_ultra_12256gb_zkg_phantom.html
Смартфон SAMSUNG SM-A235F Galaxy A23 6/128Gb ZOK Orange (SM-A235FZOKSEK);SM-A235FZOK;9499;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a235f_galaxy_a23_6128gb_zok_orange.html
Смартфон SAMSUNG Galaxy A03 4/64GB Dual Sim Red (SM-A035FZRGSEK);SM-A035FZRG;5799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a035f_galaxy_a03_464gb_zrg_red.html
Смартфон SAMSUNG SM-A336B Galaxy A33 6/128Gb ZKG Black (SM-A336BZKGSEK);SM-A336BZKG;12999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a336b_galaxy_a33_6128gb_zkg_black.html
Смартфон SAMSUNG Galaxy M13 4/128 Gb Dual Sim Light Blue (SM-M135FLBGSEK);SM-M135FLBG;7799;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_m135f_galaxy_m13_4128gb_lbg_light_blue.html
Смартфон SAMSUNG SM-A135F Galaxy A13 3/32Gb ZWU White (SM-A135FZWUSEK);SM-A135FZWU;6777;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a135f_galaxy_a13_332gb_zwu_white.html
Смартфон SAMSUNG SM-A536E Galaxy A53 6/128Gb ZOD Orange (SM-A536EZODSEK);SM-A536EZOD;15999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a536e_galaxy_a53_6128gb_zod_orange.html
Смартфон SAMSUNG SM-A336B Galaxy A33 6/128Gb ZOG Orange (SM-A336BZOGSEK);SM-A336BZOG;12999;https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_samsung_sm_a336b_galaxy_a33_6128gb_zog_orange.html
